country,"Population (2023), millions",Fossil CO2/GtCO2,Land CO2/GtCO2,Territorial Total/GtCO2,Emp Fossil Total/GtCO2,Emp Land Total/GtCO2,Empire Total/GtCO2,Col Fossil Total/GtCO2,Col Land Total/GtCO2,Colonial Total/GtCO2,Cons Total/GtCO2,Emp Cons Total/GtCO2,Col Cons Total/GtCO2,Temperature increase/degC,Col Temperature increase/degC,Difference in temp increase/degC,Share/percent,Col share/percent,Change/percent,Territorial per yearly capita /tCO2/pc,Colonial per yearly capita /tCO2/pc,Territorial per 2023 capita /tCO2/pc,Colonial per 2023 capita /tCO2/pc,Consumption per yearly capita /tCO2/pc,Colonial consumption per yearly capita /tCO2/pc,Consumption per 2023 capita /tCO2/pc,Colonial consumption per 2023 capita /tCO2/pc
Djibouti,1.136461,0.02002412543193438,-0.0010625599999999986,0.018961565431934384,0.0,0.0,0.0,0.02002412543193438,-0.0010625599999999986,0.018961565431934384,0.018961565431934384,0.0,0.018961565431934384,8.532704444370472e-06,8.532704444370472e-06,0.0,0.0007413812949298447,0.0007413812949298446,0.0,24.875152357331434,24.875152357331434,16.68474803089097,16.68474803089097,24.875152357331434,24.875152357331434,16.68474803089097,16.68474803089097
Dominican Republic,11.33297,0.8359189933811212,0.9602122666666633,1.7961312600477843,0.0,-0.0032304266666666,-0.0032304266666666,0.8359189933811212,0.9569818399999966,1.7929008333811178,2.139268346238773,-0.0032304266666666,2.1360379195721064,0.0008082590670215029,0.000806805375021503,-1.4536919999999466e-06,0.07022722486802366,0.07010091789648659,-0.17985470987129112,877.2494442177256,861.3955458697251,158.48725091902514,158.20220413370174,912.251731594257,896.3978332462565,188.76502331152145,188.47997652619802
EU+UK,516.659054,373.6207344758485,1.0678850133332858,374.6886194891818,1.1850408645397261,102.36474402749471,103.54978489203444,374.80577534038827,103.43262904082799,478.23840438121624,401.33125074902824,104.18369022553443,505.5149409745627,0.1686098787701318,0.21520728197154732,0.046597403201415505,n/a,n/a,n/a,927.9296022314628,1251.865133051197,725.2144651067739,925.6363566624273,981.61504923376,1306.8699235816332,776.7816079906116,978.4304311728226
Ecuador,18.190492,1.3350487587592994,4.254221546666665,5.5892703054259645,0.0,0.0,0.0,1.3350487587592994,4.254221546666665,5.5892703054259645,5.7066806342784355,0.0,5.7066806342784355,0.002515171637441684,0.002515171637441684,0.0,0.21853577815736802,0.21853577815736797,0.0,1266.2795378111077,1266.2795378111077,307.26328377626976,307.26328377626976,1273.7504239960715,1273.7504239960715,313.717772684677,313.717772684677
Egypt,112.7166,7.183630852907355,0.606147733333329,7.7897785862406845,-0.005261504,-0.05402567999999875,-0.05928718399999875,7.1783693489073555,0.5521220533333302,7.730491402240685,7.780414256348152,-0.05928718399999875,7.721127072348153,0.003505400363808308,0.003478721131008308,-2.6679232799999703e-05,0.30457380516471055,0.30225572602697026,-0.7610894628599618,127.29103300638627,122.09899374506267,69.10941765667776,68.5834331610489,127.21622216509066,122.02418290376706,69.02633912261506,68.50035462698621
El Salvador,6.364946,0.25484567934019153,0.729392479999995,0.9842381593401865,0.0,0.0,0.0,0.25484567934019153,0.729392479999995,0.9842381593401865,1.0508474900977398,0.0,1.0508474900977398,0.0004429071717030839,0.0004429071717030839,0.0,0.03848288601014277,0.038482886010142756,0.0,627.9800428921071,627.9800428921071,154.63417275499063,154.63417275499063,639.0402419044477,639.0402419044477,165.09919960008142,165.09919960008142
Equatorial Guinea,1.714674,0.15808515038777451,0.2577135466666622,0.41579869705443673,0.0,0.0,0.0,0.15808515038777451,0.2577135466666622,0.41579869705443673,0.41579869705443673,0.0,0.41579869705443673,0.00018710941367449651,0.00018710941367449651,0.0,0.01625738009653945,0.016257380096539445,0.0,1092.057919625503,1092.057919625503,242.4943149860771,242.4943149860771,1092.057919625503,1092.057919625503,242.4943149860771,242.4943149860771
Eritrea,3.748908,0.02051939979704462,0.09144122666666367,0.11196062646370829,-6.9051e-05,-0.02600218666666537,-0.026071237666665366,0.02045034879704462,0.0654390399999983,0.08588938879704291,0.11196062646370829,-0.026071237666665366,0.08588938879704291,5.038228190866873e-05,3.865022495866931e-05,-1.173205694999942e-05,0.00437756653198189,0.003358203019453363,-23.286076980925333,77.9929330721814,40.7853352703119,29.864863705299857,22.910508552635307,77.9929330721814,40.7853352703119,29.864863705299857,22.910508552635307
Estonia,1.322764,1.6613813989624702,0.22890229333333223,1.8902836922958024,-1.1069073765,-0.28800261333333144,-1.3949099898333315,0.5544740224624702,-0.059100319999999214,0.495373702462471,1.9044887596510223,-1.3874554623333315,0.5170332973176909,0.000850627661533111,0.00022291816610811192,-0.0006277094954249992,0.07390850595166618,0.019368696024817177,-73.79368480607133,1630.7076082944586,360.85048947863294,1429.0407754488347,374.4989298638842,1642.504247878204,377.39713559422046,1439.779703447495,390.87342664125333
Ethiopia,126.527064,0.31741129385547406,6.289451413333333,6.606862707188807,0.0,0.0,0.0,0.31741129385547406,6.289451413333333,6.606862707188807,6.628231213094983,0.0,6.628231213094983,0.002973088218234963,0.002973088218234963,0.0,0.2583227870537502,0.25832278705375017,0.0,236.21097366384208,236.21097366384208,52.216992146350655,52.216992146350655,236.46813568993946,236.46813568993946,52.385877009641064,52.385877009641064
